Timestamp,Drink_preference,Age_group,Money_drinks,Hours_sleep
4/11/2025 16:11:25,Boba,Younger than 30,15,6
4/11/2025 16:21:59,Boba,30 or older,13,5
4/11/2025 16:53:29,Coffee,Younger than 30,30,9
4/11/2025 17:15:35,Coffee,30 or older,30,7.5
4/11/2025 19:09:19,Coffee,30 or older,20,5
4/11/2025 19:56:41,Coffee,Younger than 30,22,6
4/11/2025 21:20:10,Boba,Younger than 30,20,6
4/11/2025 21:28:23,Boba,Younger than 30,10,4
4/11/2025 23:26:14,Boba,Younger than 30,12,4
4/11/2025 23:28:51,Coffee,Younger than 30,10,7
4/12/2025 4:53:02,Boba,Younger than 30,10,7
4/12/2025 13:16:05,Coffee,Younger than 30,15,12
4/12/2025 18:53:14,Coffee,Younger than 30,10,6
4/13/2025 1:02:08,Coffee,Younger than 30,0,4
4/13/2025 9:27:44,Boba,Younger than 30,0,7.5
4/14/2025 1:51:52,Boba,Younger than 30,1,1
4/14/2025 8:56:59,Coffee,30 or older,15,3
